Team;Twitter_Compound_Score;Region;Wins;Losses;Win_Rate
100 Thieves;0.1725656934306568;North America;13;6;0.6842105263157895
Cloud9;0.13829350000000004;North America;12;8;0.6
Clutch Gaming;0.2175519999999999;North America;11;9;0.55
Counter Logic Gaming;0.3114334999999999;North America;7;11;0.3888888888888889
Echo Fox;0.2607974999999999;North America;12;7;0.631578947368421
FC Schalke 04 Esports;-0.09409599999999994;Europe;7;11;0.3888888888888889
FlyQuest;0.24922199999999986;North America;6;12;0.3333333333333333
Fnatic;0.2214865000000001;Europe;14;4;0.7777777777777778
G2 Esports;0.23691149999999997;Europe;12;7;0.631578947368421
Giants;0.26244899999999993;Europe;7;11;0.3888888888888889
Golden Guardians;0.290502;North America;4;14;0.2222222222222222
H2K;0.19956350000000003;Europe;8;10;0.4444444444444444
Misfits Gaming;0.20048;Europe;8;10;0.4444444444444444
OpTic Gaming;0.2053674999999999;North America;5;13;0.2777777777777778
ROCCAT;0.15912500000000004;Europe;8;10;0.4444444444444444
Splyce;0.11337699999999995;Europe;11;8;0.5789473684210527
TSM;0.266308040201005;North America;13;7;0.65
Team Liquid;0.23102300000000006;North America;12;8;0.6
Unicorns of Love;0.43864499999999984;Europe;6;12;0.3333333333333333
Vitality;0.23843499999999992;Europe;10;8;0.5555555555555556